Miasto,Nazwa kierunku,Nazwa uczelni,Procent zdawalności,Ocena absolwentów,Własna ocena sylabusa,Ilość semestrów,Próg rekrutacji,Rodzaj kierunku
Warszawa,Matematyka,Uniwersytet Warszawski,78.78071346,3,4,6,77.0,sci
Wrocław,Zootechnika,Uniwersytet Przyrodniczy we Wrocławiu,98.67710263,4,3,6,45.3,sci
Wrocław,Technologia i Organizacja Gastronomii,Uniwersytet Przyrodniczy we Wrocławiu,97.74654386,1,5,6,52.4,sci
łódź,Matematyka,Uniwersytet łódzki,99.3778335,5,5,6,44.9,sci
łódź,Fizyka,Uniwersytet łódzki,96.5794735,5,5,6,41.1,sci
Rzeszów,Biotechnologia,Politechnika Rzeszowska,99.1280471,5,3,7,56.0,sci
Rzeszów,Biologia,Uniwersytet Rzeszowski,99.3284243,5,4,6,64.0,sci
